Song_id,Song,Artist,Album,Album_id,danceability,energy,key,mode,instrumentalness,valence
4bZZVcgWWMWPBwzTTp642w,Filter,['BTS'],MAP OF THE SOUL : 7,5W1XY5ucNATjTULERvXx9j,0.779,0.762,10,0,0,0.859
6fqaMyg066xlukvUJWdM2T,00:00 (Zero O’Clock),['BTS'],MAP OF THE SOUL : 7,5W1XY5ucNATjTULERvXx9j,0.56,0.547,1,1,0,0.199
4ROdFnoZNn2RTmwct0cVpx,Love Maze,['BTS'],Love Yourself 轉 'Tear',4NIqCxqP9o8Tp6tGLBqd8O,0.637,0.876,9,1,0,0.759
2u54HNQamwFuOMLSuhSRom,Blood Sweat & Tears,['BTS'],Wings,1vhNGBTFoaSTLbHjPGFIlF,0.584,0.885,0,0,0,0.605
5vOT8VO87TAnUjh0oADwb1,Go Go,['BTS'],Love Yourself 承 'Her',07Rq17GzCnIdWJcyVHb57G,0.856,0.617,10,0,0,0.759
4as4XEOR03oGm1STUKl6pa,BBIBBI,['IU'],BBIBBI,4ghBzVOTFoeKPPmyNKjVtI,0.839,0.617,7,1,0,0.821
3ejAkJLWQSEJDqDXxK3efB,DUN DUN,['EVERGLOW'],reminiscence,0zH0C0fkzAjhSnGKLOuxwX,0.692,0.881,11,0,4.45e-06,0.432
6Rx0ORYPP3GH9rTvGS5Vy8,CALL ME BABY,['EXO'],EXODUS - The 2nd Album,0PepQsL30ADZO7gc4Tz7Af,0.692,0.886,1,1,0,0.879
67VGnMGkTYQu0eGhvcEXuS,U&Iverse,['ASTRO'],U&Iverse,13QtsOvK9KOmQBQglnbsQo,0.644,0.767,7,1,0,0.767
0YqbQuQdRYyO2XxQRmL8mS,be free,['KB'],undergrOund idOl #2,5eTfur9HEv5ySKUVAsOqnt,0.622,0.793,6,0,1.51e-05,0.818
2WoluqyWzsgRmFCeHeGlnm,SNEAKERS,['ITZY'],CHECKMATE,64EGnoCD5NuC41OqQ3E7UK,0.935,0.849,7,1,0,0.551
5YMXGBD6vcYP7IolemyLtK,Euphoria,['BTS'],Love Yourself 結 'Answer',43wFM1HquliY3iwKWzPN4y,0.637,0.799,2,1,0,0.57
2dHoVW9AxJVSRebPRyV2aA,Gone,['ROSÉ'],R,5BQcoDfcZ8aBcikYX9B7Ob,0.647,0.377,6,1,0,0.653
0wqqe8k13bJPxRt7FEmnwS,So What,['BTS'],Love Yourself 轉 'Tear',4NIqCxqP9o8Tp6tGLBqd8O,0.657,0.883,9,0,0,0.461
